id,srcOrganization,destOrganization,description,cluster,amountUSD,Funding status,year
197082,"United States of America, Government of",World Food Programme,Food Security (USAID/FFP),Food Security,30759249.00,Paid Contribution,2019
197160,Afghanistan Humanitarian Fund,International Medical Corps UK,Life-Saving Relief Assistance to the Conflict-Affected IDPs in Eastern Region of Afghanistan.,Emergency Shelter and NFI,850000.00,Paid Contribution,2019
197161,Afghanistan Humanitarian Fund,Islamic Relief Worldwide,Provision of access to inclusive and protective learning for emergency affected children in Balkh province in Afghanistan.,Education,399122.00,Paid Contribution,2019
197195,"United Kingdom, Government of",ACBAR - Agency Coordinating Body for Afghan Relief,Local NGO Capacity Building,,0.00,Commitment,2019
197196,"United Kingdom, Government of",ACBAR - Agency Coordinating Body for Afghan Relief,Local NGO Capacity Building Core funding. Cash-transfer: Conditional,,422595.00,Commitment,2019
197201,"United Kingdom, Government of",Agency for Technical Cooperation and Development,Joint needs assessment for life saving assistance and evaluation of UK Aid (whole of Afghanistan-Muti-Sector Needs Assessment),,0.00,Paid Contribution,2019
197202,"United Kingdom, Government of",Agency for Technical Cooperation and Development,(REACH initiative) The Of Afghanistan Multi-Sector Need Assessment,,453837.00,Commitment,2019
197212,"United Kingdom, Government of",Afghanistan Humanitarian Fund,Multi-Sector Emergency Response ( 14 mil GBP),,17348220.00,Paid Contribution,2019
197213,"United Kingdom, Government of",International Committee of the Red Cross,Humanitarian assistance,,0.00,Commitment,2019
197214,"United Kingdom, Government of",International Committee of the Red Cross,Humanitarian assistance,,8883249.00,Commitment,2019
197270,"Germany, Government of",International Committee of the Red Cross,Physical Rehabilitation Measures for Mining Victims in Afghanistan,Protection - Mine Action,3344482.00,Commitment,2019
197280,"Norway, Government of",World Food Programme,Food Security and Agriculture (QZA-18/0148-8),Food Security,685323.00,Paid Contribution,2019
197281,"United States of America, Government of",World Food Programme,Food Security (USAID/FFP),Food Security,10647774.00,Paid Contribution,2019
197282,"United States of America, Government of",World Food Programme,Food Security (USAID/FFP),Nutrition,5092977.00,Paid Contribution,2019
197294,"Norway, Government of",Office for the Coordination of Humanitarian Affairs,Afghanistan - OCHA Office  [OCT 6646];[QZA-18/0177],,112410.00,Paid Contribution,2019
197297,"United States of America, Government of",United Nations High Commissioner for Refugees,Against Afghanistan HRP (State/PRM),,2500000.00,Paid Contribution,2019
197298,"United States of America, Government of",United Nations High Commissioner for Refugees,for UNHCR’s IDP project in Afghanistan (Outside Afghanistan HRP) (State/PRM),,9500000.00,Paid Contribution,2019
197747,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,for UNHCR Operations in Afghanistan :part of the 2019 portion CHF 14 million (7F-10333.01),,1016260.00,Commitment,2019
197769,"Germany, Government of",Johanniter-Unfall-Hilfe e.V.,"Basic Health Services for Internally Displaced People and Returnees in Informal Settlements in Kabul, Afghanistan",Health,371781.00,Commitment,2019
197850,"Norway, Government of",United Nations High Commissioner for Refugees,"Activities in Afghanistan under the Global Appeal
(QZA-18/0302-12)",,684775.00,Paid Contribution,2019
197851,"Norway, Government of",HALO Trust,Mine action and mine risk education (QZA-19/0061-1),,456517.00,Paid Contribution,2019
197852,"Norway, Government of",Norwegian Red Cross,Humanitarian Assistance (QZA-19/0080-21),,684775.00,Paid Contribution,2019
197853,"Norway, Government of",Afghanistan Humanitarian Fund,Common Humanitarian Fund - Afghanistan (AFG-19/0011) (MPTF 5943),,993276.00,Paid Contribution,2019
197854,"Norway, Government of",International NGO Safety Organisation,INSO - Security for NGOs in Afghanistan - Norwegian support 2019 (AFG-19/0006),Coordination and support services,342388.00,Paid Contribution,2019
197979,"Czech Republic, Government of",International Organization for Migration,Humanitarian assistance for Afghan Returnees,Protection,221239.00,Paid Contribution,2019
197981,"Norway, Government of",International Organization for Migration,Humanitarian assistance for Afghan Returnees,Protection,2349348.00,Paid Contribution,2019
197988,"Switzerland, Government of",International Organization for Migration,"Humanitarian assistance for Afghan Returnees  (multi year 2019-2022)  total amount 2,750,000 CHF",,0.00,Commitment,2019
197989,"Switzerland, Government of",International Organization for Migration,"Humanitarian assistance for Afghan Returnees  (multi year 2019-2022) -  2019 -portion 500,000 CHF",Protection,504032.00,Paid Contribution,2019
198061,"Germany, Government of",World Food Programme,Food security for the affected population and air service component under the Afghanistan Country Strategic Plan (AA-S09 321.50 AFG 05/19),,0.00,Paid Contribution,2019
198065,"Ireland, Government of",HALO Trust,Clearing mine contaminated land and conducting mine risk education in mine affected communities,Protection - Mine Action,329670.00,Commitment,2019
198121,Central Emergency Response Fund,United Nations High Commissioner for Refugees,Community-Based Protection Monitoring among Internally Displaced Communities in Afghanistan,Protection,200000.00,Paid Contribution,2019
198122,Central Emergency Response Fund,United Nations Office for Project Services,Provision of Explosive Ordnance Risk Education to Affected Populations,Protection | Protection - Mine Action,299997.00,Paid Contribution,2019
198123,Central Emergency Response Fund,World Health Organization,Health Emergency Response to Ensure Life-Saving Trauma Care and Primary Healthcare (part of 19-UF-WHO-046),Health,6063218.00,Paid Contribution,2019
198385,Central Emergency Response Fund,World Health Organization,Health Emergency Response to Ensure Life-Saving Trauma Care and Primary Healthcare (part of 19-UF-WHO-046),Nutrition,123739.00,Commitment,2019
198386,Central Emergency Response Fund,,CERF Underfunded Emergencies Window to Afghanistan,,0.00,Commitment,2019
198393,Central Emergency Response Fund,United Nations Children's Fund,"Provision of Life-Saving Health, Nutrition, WASH and Protection Services to Contribute to the Reduction of Mortality in Afghanistan (part of 19-UF-CEF-096)",Health,850882.00,Paid Contribution,2019
198484,"Japan, Government of",United Nations Mine Action Service,Support to Mine Action in Afghanistan,,803571.00,Paid Contribution,2019
198485,"Japan, Government of",International Organization for Migration,"Supporting Afghanistan through:
 1. Humanitarian Assistance to Drought-Affected IDPS
 2.Return of Qualified Afghans from Iran",Other,933035.00,Paid Contribution,2019
198486,"Japan, Government of",International Committee of the Red Cross,Emergency and Rehabilitation Activities for Afghanistan,Protection,714285.00,Paid Contribution,2019
198541,"United Kingdom, Government of",,Timely Humanitarian response to sudden shocks in Afghanistan to meet critical needs - IRF,,12315271.00,Commitment,2019
198542,"United Kingdom, Government of",National NGOs (Confidential),Early recovery and resilience,,1847291.00,Commitment,2019
198552,Food & Agriculture Organization of the United Nations,Agency for Technical Cooperation and Development,Emergency livestock inputs assistance for drought affected farmers in Balkh and Jawazjan provinces,Food Security,83221.00,Paid Contribution,2019
198553,Food & Agriculture Organization of the United Nations,Agency for Technical Cooperation and Development,Immediate livestock assistance for drought affected populations,Food Security,86162.00,Paid Contribution,2019
198568,"United Kingdom, Government of",Afghanistan Humanitarian Fund,Multi-Sector Emergency Response ( 2019 top up 40 million GBP) ( MPTF6163),,49792000.00,Paid Contribution,2019
198598,"Germany, Government of",Deutsche Welthungerhilfe e.V. (German Agro Action),Improved access to hygiene and drinking water as well as accommodation for returnees and internally displaced persons in Nangarhar (2019 portion),Water Sanitation Hygiene,945295.00,Commitment,2019
198989,"United States of America, Government of",,Logistics Support and Relief Commodities ( USAID/OFDA),Logistics,22815.00,Commitment,2019
198990,"United States of America, Government of",Food & Agriculture Organization of the United Nations,Agriculture and Food Security (USAID/OFDA),Food Security,550000.00,Commitment,2019
198995,"United States of America, Government of",Agency for Technical Cooperation and Development,"Responding to shelter and WASH needs of returnees, conflict, and disaster affected populations, whilst increasing evidence based humanitarian programming in Afghanistan  (USAID/OFDA)",Emergency Shelter and NFI | Water Sanitation Hygiene,7800000.00,Paid Contribution,2019
198999,"United States of America, Government of",,"Water, Sanitation and Hygiene ( USAID/OFDA)",Water Sanitation Hygiene,1509020.00,Commitment,2019
199001,"United States of America, Government of",,Protection( USAID/OFDA),Protection,3500000.00,Commitment,2019
199002,"United States of America, Government of",International Organization for Migration,Shelter and Settlements( USAID/OFDA),Emergency Shelter and NFI,2000000.00,Commitment,2019
199003,"United States of America, Government of",,"Multipurpose Cash Assistance,Protection ( USAID/OFDA)",Emergency Shelter and NFI,1100000.00,Commitment,2019
199006,"United States of America, Government of",,"Health,Water, Sanitation and Hygiene,Economic Recovery and Market Systems,Nutrition,Protection ( USAID/OFDA)",Health,1300000.00,Commitment,2019
199008,"United States of America, Government of",,"Health,Water, Sanitation and Hygiene,Nutrition( USAID/OFDA)",Health | Nutrition | Water Sanitation Hygiene,1874180.00,Commitment,2019
199010,"United States of America, Government of",,"Health,Water, Sanitation and Hygiene,Nutrition,Protection ( USAID/OFDA)",Nutrition | Protection,257497.00,Commitment,2019
199012,"United States of America, Government of",,"Logistics Support and Relief Commodities,Economic Recovery and Market Systems,Protection,Shelter and Settlements,Risk Management Policy and Practice ( USAID/OFDA)",,5000000.00,Commitment,2019
199013,"United States of America, Government of",,"Health,Water, Sanitation and Hygiene,Nutrition ( USAID/OFDA)",Health | Nutrition | Water Sanitation Hygiene,2875637.00,Commitment,2019
199014,"United States of America, Government of",,"Natural and Technological Risks,Humanitarian Coordination and Info Management ( USAID/OFDA)",Emergency Shelter and NFI | Health,3392000.00,Commitment,2019
199015,"United States of America, Government of",World Health Organization,Health ( USAID/OFDA),Health,2004827.00,Commitment,2019
199028,"United States of America, Government of",,Food Security  (USAID/FFP),Food Security,2124363.00,Commitment,2019
199030,"United States of America, Government of",,Food Security  (USAID/FFP),Food Security,1000000.00,Commitment,2019
199122,Central Emergency Response Fund,International Organization for Migration,Life-Saving Health and Protection Services for Vulnerable Undocumented Afghan Returnees (part of 19-UF-IOM-029),Health,990001.00,Paid Contribution,2019
199123,Central Emergency Response Fund,International Organization for Migration,Life-Saving Health and Protection Services for Vulnerable Undocumented Afghan Returnees (part of 19-UF-IOM-029),Protection,810000.00,Paid Contribution,2019
199124,Central Emergency Response Fund,United Nations Children's Fund,"Provision of Life-Saving Health, Nutrition, WASH and Protection Services to Contribute to the Reduction of Mortality in Afghanistan (part of 19-UF-CEF-096)",Water Sanitation Hygiene,4041689.00,Paid Contribution,2019
